FileName,Frame,PixelCount,OriginalPixelCount,PixelIncrease,PercentIncrease,CorrectionMethod,KernelSize,Iterations
0X100009310A3BD7FC.avi,46,1744,1348,396,29.376854599406528,morphological_dilation,3,2
0X100009310A3BD7FC.avi,61,854,543,311,57.2744014732965,morphological_dilation,3,2
0X1002E8FBACD08477.avi,3,1593,1225,368,30.04081632653061,morphological_dilation,3,2
0X1002E8FBACD08477.avi,18,960,680,280,41.17647058823529,morphological_dilation,3,2
0X1005D03EED19C65B.avi,24,1166,842,324,38.47980997624703,morphological_dilation,3,2
0X1005D03EED19C65B.avi,35,728,472,256,54.23728813559322,morphological_dilation,3,2
0X10075961BC11C88E.avi,91,1445,1109,336,30.297565374211,morphological_dilation,3,2
0X10075961BC11C88E.avi,108,997,705,292,41.41843971631206,morphological_dilation,3,2
0X10094BA0A028EAC3.avi,137,2514,2070,444,21.44927536231884,morphological_dilation,3,2
0X10094BA0A028EAC3.avi,156,2077,1677,400,23.85211687537269,morphological_dilation,3,2
0X100CF05D141FF143.avi,132,1719,1339,380,28.37938760268857,morphological_dilation,3,2
0X100CF05D141FF143.avi,148,1117,805,312,38.75776397515528,morphological_dilation,3,2
0X100E3B8D3280BEC5.avi,25,1657,1293,364,28.151585460170146,morphological_dilation,3,2
0X100E3B8D3280BEC5.avi,38,1273,961,312,32.46618106139438,morphological_dilation,3,2
0X100E491B3CD58DE2.avi,49,1739,1347,392,29.101707498144023,morphological_dilation,3,2
0X100E491B3CD58DE2.avi,75,1403,1055,348,32.98578199052133,morphological_dilation,3,2
0X100F044876B98F90.avi,56,1622,1234,388,31.442463533225286,morphological_dilation,3,2
0X100F044876B98F90.avi,72,972,631,341,54.04120443740095,morphological_dilation,3,2
0X101026B90DAE7E95.avi,45,2180,1736,444,25.57603686635945,morphological_dilation,3,2
0X101026B90DAE7E95.avi,62,1589,1190,399,33.52941176470588,morphological_dilation,3,2
0X1012703CDC1436FE.avi,154,2765,2303,462,20.060790273556233,morphological_dilation,3,2
